,WT,WH,WS,GA,BR,BA,TD,WG,PM,CA,GD,DA,2B,2D,2G,2S,TA
WT,NA,0,1,0,0,1,0,8,0,0,2,0,0,0,0,0,0
WH,0,NA,5,0,33,25,2,0,2,4,5,2,1,0,0,0,0
WS,1,5,NA,0,1,5,0,1,0,0,1,0,0,1,0,0,0
GA,0,0,0,NA,11,1,3,1,0,2,2,3,2,0,0,0,0
BR,0,33,1,11,NA,4,4,1,4,4,23,4,1,4,2,3,2
BA,1,25,5,1,4,NA,14,0,0,12,3,4,2,1,1,0,0
TD,0,2,0,3,4,14,NA,0,0,0,0,0,0,3,0,0,0
WG,8,0,1,1,0,0,0,NA,0,1,0,0,0,0,0,0,0
PM,0,2,0,0,4,0,0,0,NA,6,12,9,1,2,2,2,0
CA,0,4,0,2,4,12,0,1,6,NA,8,2,1,0,1,1,2
GD,2,5,1,2,23,3,0,0,12,8,NA,21,4,1,3,2,0
DA,0,2,0,3,4,4,0,0,9,2,21,NA,1,3,6,6,1
2B,0,1,0,2,1,2,0,0,1,1,4,1,NA,2,15,3,3
2D,0,0,1,0,4,1,3,0,2,0,1,3,2,NA,4,1,4
2G,0,0,0,0,2,1,0,0,2,1,3,6,15,4,NA,12,7
2S,0,0,0,0,3,0,0,0,2,1,2,6,3,1,12,NA,2
TA,0,0,0,0,2,0,0,0,0,2,0,1,3,4,,2,NA
