ccode,stateabb,styear,polity
540,ANG,1975,-3
900,AUL,1920,10
305,AUS,1919,10
211,BEL,1830,10
370,BLR,1991,-7
145,BOL,1848,9
140,BRA,1822,8
471,CAO,1960,-4
710,CHN,1860,-7
100,COL,1831,7
40,CUB,1902,-7
390,DEN,1816,10
130,ECU,1854,6
220,FRN,1816,9
452,GHA,1957,2
255,GMY,1816,10
350,GRC,1828,10
90,GUA,1868,8
110,GUY,1966,6
750,IND,1947,9
850,INS,1949,6
630,IRN,1855,3
325,ITA,1816,10
740,JPN,1860,10
705,KZK,1991,-4
660,LEB,1946,-10
580,MAG,1960,7
70,MEX,1831,8
359,MLD,1991,7
432,MLI,1960,6
712,MON,1921,10
600,MOR,1847,-6
541,MZM,1975,5
475,NIG,1960,4
210,NTH,1816,10
770,PAK,1947,-6
150,PAR,1846,7
290,POL,1918,9
365,RUS,1816,6
433,SEN,1960,8
349,SLV,1992,10
625,SUD,1956,-7
225,SWZ,1816,10
800,THI,1887,9
616,TUN,1825,-3
500,UGA,1962,-4
200,UKG,1816,10
2,USA,1816,10
101,VEN,1841,7
