author,party,dist
Agriculture; ,0,0
Adams; ,1,26
Alexander; ,1,56
Allen; ,1,22
Allred; ,0,25
Arnold; ,0,72
Baddour; ,1,11
Baker; ,0,40
Barbee; ,0,82
Barefoot; ,1,44
Barnhart; ,0,81
Bell; ,1,97
Blue; ,1,21
Blust; ,0,27
Bonner; ,1,87
Bowie; ,0,29
Boyd-McIntyre; ,1,28
Brubaker; ,0,38
Buchanan; ,0,46
Cansler; ,0,51
Capps; ,0,92
Carpenter; ,0,53
Church; ,1,47
Clary; ,1,48
Coates; ,1,35
Cole; ,1,25
Cox; ,1,19
"Crawford,&nbsp;J.; ",1,22
M.&nbsp;Crawford; ,0,51
Creech; ,0,20
Culp; ,0,30
Culpepper; ,1,86
Cunningham; ,1,59
Daughtry; ,0,95
Davis; ,0,19
Decker; ,0,84
Dedmon; ,1,48
Dockham; ,0,94
Earle; ,1,60
Easterling; ,1,58
Eddins; ,0,65
Edwards; ,1,2
Ellis; ,0,15
Esposito; ,0,88
Fitch; ,1,70
Fox; ,1,78
Gibson; ,1,33
Gillespie; ,0,49
Goodwin; ,1,32
Grady; ,0,80
Gray; ,0,39
Gulley; ,1,69
Hackney; ,1,24
Haire; ,1,52
Hall; ,1,7
Harrington; ,0,76
Hensley; ,1,64
Hiatt; ,0,40
Hill; ,1,14
Hilton; ,0,45
Holliman; ,1,37
Holmes; ,0,41
Howard; ,0,74
Hunter; ,1,5
Hurley; ,1,18
Insko; ,1,24
Jarrell; ,1,89
Jeffus; ,1,89
Johnson; ,0,90
Justus; ,0,50
Kiser; ,0,45
Lucas; ,1,17
Luebke; ,1,23
McAllister; ,1,17
McComas; ,0,13
McCombs; ,0,83
McLawhorn; ,1,9
McMahan; ,0,55
Michaux; ,1,23
Miller; ,1,23
Miner; ,0,62
Mitchell; ,0,42
Morgan; ,0,31
Morris; ,0,18
Nesbitt; ,1,51
Nye; ,1,96
Oldham; ,1,67
Owens; ,1,1
Pope; ,0,61
Preston; ,0,4
Rayfield; ,0,93
Redwine; ,1,14
Rogers; ,1,6
Russell; ,0,77
Saunders; ,1,54
Setzer; ,0,43
Sexton; ,0,73
Sherrill; ,0,51
Shubert; ,0,34
Smith; ,1,4
Black; ,1,36
Starnes; ,0,91
Sutton; ,1,85
Teague; ,0,25
Thompson; ,0,46
Tolson; ,1,71
Tucker; ,1,10
Underhill; ,1,3
Wainwright; ,1,79
Walend; ,0,68
Walker; ,0,41
Warner; ,1,75
Warren; ,1,8
Warwick; ,1,12
Weatherly; ,0,48
Weiss; ,1,63
West; ,0,53
Willingham; ,0,
"Wilson,&nbsp;C; ",0,57
G.&nbsp;Wilson; ,0,40
Womble; ,1,66
Wright; ,1,98
Yongue; ,1,16
