author,party,district
; ,0,0
Adams; ,1,58
Alexander; ,1,106
B.&nbsp;Allen; ,1,33
G.&nbsp;Allen; ,1,55
L.&nbsp;Allen; ,1,522
Allred; ,0,525
Baker; ,0,540
Barbee; ,0,70
Barnhart; ,0,75
Bell; ,1,21
Black; ,1,100
Blackwood; ,0,73
Blust; ,0,62
Bonner; ,1,514
Bordsen; ,1,525
Bowie; ,0,57
Brubaker; ,0,78
Capps; ,0,524
Carney; ,1,102
Church; ,1,86
Clary; ,0,110
Coates; ,1,77
Cole; ,1,65
Crawford; ,0,32
Creech; ,0,26
Culp; ,0,67
Culpepper; ,1,2
Cunningham; ,1,107
Daughtridge; ,0,25
Daughtry; ,0,519
Decker; ,1,541
Dickson; ,1,41
Dockham; ,0,80
Earle; ,1,101
Eddins; ,0,40
Ellis; ,0,39
England; ,1,548
Farmer-Butterfield; ,1,24
Fisher; ,0,1000
Fox; ,1,27
Frye; ,0,546
Gibson; ,1,69
Gillespie; ,0,546
Glazier; ,1,517
Goforth; ,1,115
Goodwin; ,1,522
Gorman; ,0,3
Grady; ,0,15
Gulley; ,0,103
Hackney; ,1,524
Haire; ,1,552
Hall; ,1,7
Harrell; ,1,540
Hill; ,1,514
Hilton; ,0,541
Holliman; ,1,81
Holmes; ,0,541
Howard; ,0,79
Hunter; ,1,5
Insko; ,1,56
Jeffus; ,1,59
C.&nbsp;Johnson; ,1,4
L.&nbsp;Johnson; ,0,74
Jones; ,1,60
Justice; ,0,16
Justus; ,0,117
Kiser; ,0,545
LaRoque; ,0,10
Lewis; ,0,519
Lucas; ,1,517
Luebke; ,1,523
McAllister; ,1,517
McComas; ,0,19
McCombs; ,0,76
McGee; ,0,540
McHenry; ,0,109
McLawhorn; ,1,9
McMahan; ,0,105
Michaux; ,1,31
Miller; ,1,523
Miner; ,0,36
Mitchell; ,0,545
Moore; ,0,548
Morgan; ,0,52
Munford; ,0,34
Nesbitt; ,1,551
Nye; ,1,518
Owens; ,1,1
Parmon; ,1,72
Pate; ,0,11
Preston; ,0,504
Rapp; ,1,118
Ray; ,0,95
Rayfield; ,0,108
Rhodes; ,0,98
Ross; ,1,38
Sauls; ,0,519
Saunders; ,1,99
Setzer; ,0,545
Sexton; ,0,66
Sherrill; ,0,116
Stam; ,0,37
Starnes; ,0,87
Steen; ,0,1001
Stiller; ,0,514
Sutton; ,1,47
Tolson; ,1,23
Wainwright; ,1,12
Walend; ,0,548
Walker; ,0,83
Warner; ,1,518
Warren; ,1,8
Weiss; ,1,35
West; ,0,552
A.&nbsp;Williams; ,1,6
K.&nbsp;Williams; ,0,504
C.&nbsp;Wilson; ,0,104
G.&nbsp;Wilson; ,0,82
Womble; ,1,71
Wood; ,0,61
Wright; ,1,18
Yongue; ,1,46
