"ccode1","ccode2","edge","defense","mil_ratio","tot_trade","joint_dem","year"
2,20,1,0,0.94277328,0,1,1946
2,20,1,0,0.93501896,0,1,1947
2,20,1,0,0.93828756,3832.5,1,1948
2,20,1,1,0.90915948,3844.2,1,1949
2,20,1,1,0.88813001,4263.1001,1,1950
2,20,1,1,0.80027908,5407.1001,1,1951
2,20,1,1,0.74613881,5955.1001,1,1952
2,20,1,1,0.74790138,6279.8999,1,1953
2,20,1,1,0.74880546,5936.2998,1,1954
2,20,1,1,0.7484805,6745.5,1,1955
2,20,1,1,0.7481367,7818.5,1,1956
2,20,1,1,0.74420905,7792.5,1,1957
2,20,1,1,0.74671721,7323.2002,1,1958
2,20,1,1,0.74328804,8056.8999,1,1959
2,20,1,1,0.73670465,7599.1001,1,1960
2,20,1,1,0.72852689,7818.2998,1,1961
2,20,1,0,0.72083688,8406.0996,1,1962
2,20,1,0,0.72056019,8705.1992,1,1963
2,20,1,0,0.71292597,9891.6992,1,1964
2,20,1,0,0.71098936,11410.7,1,1965
2,20,1,0,0.71877497,13929.3,1,1966
2,20,1,0,0.72220212,15794.3,1,1967
2,20,1,0,0.72532028,18792.398,1,1968
2,20,1,0,0.7319591,21544.398,1,1969
2,20,1,0,0.73685962,22191.699,1,1970
2,20,1,0,0.7491532,25403.301,1,1971
2,20,1,0,0.74415827,30171,1,1972
2,20,1,0,0.75342333,36925.898,1,1973
2,20,1,0,0.75123352,47589.602,1,1974
2,20,1,0,0.75709963,48135.297,1,1975
2,20,1,0,0.75189275,56306.699,1,1976
2,20,1,0,0.75214487,61688.703,1,1977
2,20,1,0,0.75085521,68631.594,1,1978
2,20,1,0,0.7527892,81438.094,1,1979
2,20,1,0,0.75060654,87320,1,1980
2,20,1,0,0.74997264,96573.398,1,1981
2,20,1,0,0.74844593,89163.398,1,1982
2,20,1,0,0.74959075,101173,1,1983
2,20,1,0,0.74751472,124809.41,1,1984
2,20,1,0,0.74969393,128892.3,1,1985
2,20,1,0,0.74791497,129886.3,1,1986
2,20,1,0,0.74469244,137101.09,1,1987
2,20,1,0,0.7406643,158925.41,1,1988
2,20,1,1,0.74084312,171554.59,1,1989
2,20,1,1,0.74009043,176558,1,1990
2,20,1,1,0.73594123,176263.7,1,1991
2,20,1,1,0.74564999,188515.5,1,1992
2,20,1,1,0.75274992,210151.8,1,1993
2,20,1,1,0.74746382,241547,1,1994
2,20,1,1,0.74767965,268190,1,1995
2,20,1,1,0.74755603,285834,1,1996
2,20,1,1,0.75205094,316583,1,1997
2,20,1,1,0.75113595,327102,1,1998
2,20,1,1,0.74757957,356676,1,1999
2,20,1,1,0.74875563,398259,1,2000
2,20,1,1,0.75430799,375343,1,2001
2,20,1,1,0.7601096,366923,1,2002
2,20,1,1,0.75654835,387282,1,2003
2,20,1,1,0.74481177,436065,1,2004
2,20,1,1,0.73391277,487095,1,2005
2,20,1,1,0.72942573,519070,1,2006
2,20,1,1,0.72319895,544015,1,2007
2,31,2,1,0.99760777,1519.4,1,1985
2,31,2,1,0.99127662,1491.58,1,1989
2,31,2,1,0.99464792,1406.98,1,1990
2,31,2,1,0.99704039,1390.85,1,1992
2,31,2,1,0.99512792,1129.8,1,1999
2,31,2,1,0.99476337,1436.37,1,2000
2,31,2,1,0.99486375,1452.3899,1,2001
2,31,2,1,0.99494255,1550.4099,1,2002
2,31,2,1,0.99456644,1692.73,1,2003
2,31,2,1,0.9945938,1967.7101,1,2004
2,31,2,1,0.99462765,2672.0901,1,2005
2,31,2,1,0.99400407,2992.3098,1,2006
2,31,2,1,0.99368209,3243.6099,1,2007
2,40,3,1,0.97901809,883.66003,0,1948
2,40,3,1,0.97007596,884.25,0,1950
2,40,3,1,0.94946826,984.96997,0,1952
2,40,3,1,0.95229596,896.98999,0,1953
2,40,3,1,0.96436995,922.63,0,1955
