dyad,state1no,state1ab,state2no,state2ab,year,conttype,version
2020,2,"USA",20,"CAN",1920,1,3.1
2020,2,"USA",20,"CAN",1921,1,3.1
2020,2,"USA",20,"CAN",1922,1,3.1
2020,2,"USA",20,"CAN",1923,1,3.1
2020,2,"USA",20,"CAN",1924,1,3.1
2020,2,"USA",20,"CAN",1925,1,3.1
2020,2,"USA",20,"CAN",1926,1,3.1
2020,2,"USA",20,"CAN",1927,1,3.1
2020,2,"USA",20,"CAN",1928,1,3.1
2020,2,"USA",20,"CAN",1929,1,3.1
2020,2,"USA",20,"CAN",1930,1,3.1
2020,2,"USA",20,"CAN",1931,1,3.1
2020,2,"USA",20,"CAN",1932,1,3.1
2020,2,"USA",20,"CAN",1933,1,3.1
2020,2,"USA",20,"CAN",1934,1,3.1
2020,2,"USA",20,"CAN",1935,1,3.1
2020,2,"USA",20,"CAN",1936,1,3.1
2020,2,"USA",20,"CAN",1937,1,3.1
2020,2,"USA",20,"CAN",1938,1,3.1
2020,2,"USA",20,"CAN",1939,1,3.1
2020,2,"USA",20,"CAN",1940,1,3.1
2020,2,"USA",20,"CAN",1941,1,3.1
2020,2,"USA",20,"CAN",1942,1,3.1
2020,2,"USA",20,"CAN",1943,1,3.1
2020,2,"USA",20,"CAN",1944,1,3.1
2020,2,"USA",20,"CAN",1945,1,3.1
2020,2,"USA",20,"CAN",1946,1,3.1
2020,2,"USA",20,"CAN",1947,1,3.1
2020,2,"USA",20,"CAN",1948,1,3.1
2020,2,"USA",20,"CAN",1949,1,3.1
2020,2,"USA",20,"CAN",1950,1,3.1
2020,2,"USA",20,"CAN",1951,1,3.1
2020,2,"USA",20,"CAN",1952,1,3.1
2020,2,"USA",20,"CAN",1953,1,3.1
2020,2,"USA",20,"CAN",1954,1,3.1
2020,2,"USA",20,"CAN",1955,1,3.1
2020,2,"USA",20,"CAN",1956,1,3.1
2020,2,"USA",20,"CAN",1957,1,3.1
2020,2,"USA",20,"CAN",1958,1,3.1
2020,2,"USA",20,"CAN",1959,1,3.1
2020,2,"USA",20,"CAN",1960,1,3.1
2020,2,"USA",20,"CAN",1961,1,3.1
2020,2,"USA",20,"CAN",1962,1,3.1
2020,2,"USA",20,"CAN",1963,1,3.1
2020,2,"USA",20,"CAN",1964,1,3.1
2020,2,"USA",20,"CAN",1965,1,3.1
2020,2,"USA",20,"CAN",1966,1,3.1
2020,2,"USA",20,"CAN",1967,1,3.1
2020,2,"USA",20,"CAN",1968,1,3.1
2020,2,"USA",20,"CAN",1969,1,3.1
2020,2,"USA",20,"CAN",1970,1,3.1
2020,2,"USA",20,"CAN",1971,1,3.1
2020,2,"USA",20,"CAN",1972,1,3.1
2020,2,"USA",20,"CAN",1973,1,3.1
2020,2,"USA",20,"CAN",1974,1,3.1
2020,2,"USA",20,"CAN",1975,1,3.1
2020,2,"USA",20,"CAN",1976,1,3.1
2020,2,"USA",20,"CAN",1977,1,3.1
2020,2,"USA",20,"CAN",1978,1,3.1
2020,2,"USA",20,"CAN",1979,1,3.1
2020,2,"USA",20,"CAN",1980,1,3.1
2020,2,"USA",20,"CAN",1981,1,3.1
2020,2,"USA",20,"CAN",1982,1,3.1
2020,2,"USA",20,"CAN",1983,1,3.1
2020,2,"USA",20,"CAN",1984,1,3.1
2020,2,"USA",20,"CAN",1985,1,3.1
2020,2,"USA",20,"CAN",1986,1,3.1
2020,2,"USA",20,"CAN",1987,1,3.1
2020,2,"USA",20,"CAN",1988,1,3.1
2020,2,"USA",20,"CAN",1989,1,3.1
2020,2,"USA",20,"CAN",1990,1,3.1
2020,2,"USA",20,"CAN",1991,1,3.1
2020,2,"USA",20,"CAN",1992,1,3.1
2020,2,"USA",20,"CAN",1993,1,3.1
2020,2,"USA",20,"CAN",1994,1,3.1
2020,2,"USA",20,"CAN",1995,1,3.1
2020,2,"USA",20,"CAN",1996,1,3.1
2020,2,"USA",20,"CAN",1997,1,3.1
2020,2,"USA",20,"CAN",1998,1,3.1
2020,2,"USA",20,"CAN",1999,1,3.1
2020,2,"USA",20,"CAN",2000,1,3.1
2020,2,"USA",20,"CAN",2001,1,3.1
2020,2,"USA",20,"CAN",2002,1,3.1
2020,2,"USA",20,"CAN",2003,1,3.1
2020,2,"USA",20,"CAN",2004,1,3.1
2020,2,"USA",20,"CAN",2005,1,3.1
2020,2,"USA",20,"CAN",2006,1,3.1
2031,2,"USA",31,"BHM",1973,4,3.1
2031,2,"USA",31,"BHM",1974,4,3.1
2031,2,"USA",31,"BHM",1975,4,3.1
2031,2,"USA",31,"BHM",1976,4,3.1
2031,2,"USA",31,"BHM",1977,4,3.1
2031,2,"USA",31,"BHM",1978,4,3.1
2031,2,"USA",31,"BHM",1979,4,3.1
2031,2,"USA",31,"BHM",1980,4,3.1
2031,2,"USA",31,"BHM",1981,4,3.1
2031,2,"USA",31,"BHM",1982,4,3.1
2031,2,"USA",31,"BHM",1983,4,3.1
2031,2,"USA",31,"BHM",1984,4,3.1
2031,2,"USA",31,"BHM",1985,4,3.1
2031,2,"USA",31,"BHM",1986,4,3.1
2031,2,"USA",31,"BHM",1987,4,3.1
2031,2,"USA",31,"BHM",1988,4,3.1
2031,2,"USA",31,"BHM",1989,4,3.1
2031,2,"USA",31,"BHM",1990,4,3.1
2031,2,"USA",31,"BHM",1991,4,3.1
2031,2,"USA",31,"BHM",1992,4,3.1
2031,2,"USA",31,"BHM",1993,4,3.1
2031,2,"USA",31,"BHM",1994,4,3.1
2031,2,"USA",31,"BHM",1995,4,3.1
2031,2,"USA",31,"BHM",1996,4,3.1
2031,2,"USA",31,"BHM",1997,4,3.1
2031,2,"USA",31,"BHM",1998,4,3.1
2031,2,"USA",31,"BHM",1999,4,3.1
2031,2,"USA",31,"BHM",2000,4,3.1
2031,2,"USA",31,"BHM",2001,4,3.1
2031,2,"USA",31,"BHM",2002,4,3.1
2031,2,"USA",31,"BHM",2003,4,3.1
2031,2,"USA",31,"BHM",2004,4,3.1
2031,2,"USA",31,"BHM",2005,4,3.1
2031,2,"USA",31,"BHM",2006,4,3.1
2040,2,"USA",40,"CUB",1902,4,3.1
2040,2,"USA",40,"CUB",1903,4,3.1
2040,2,"USA",40,"CUB",1904,4,3.1
2040,2,"USA",40,"CUB",1905,4,3.1
2040,2,"USA",40,"CUB",1906,4,3.1
2040,2,"USA",40,"CUB",1909,4,3.1
2040,2,"USA",40,"CUB",1910,4,3.1
2040,2,"USA",40,"CUB",1911,4,3.1
2040,2,"USA",40,"CUB",1912,4,3.1
2040,2,"USA",40,"CUB",1913,4,3.1
2040,2,"USA",40,"CUB",1914,4,3.1
2040,2,"USA",40,"CUB",1915,4,3.1
2040,2,"USA",40,"CUB",1916,4,3.1
2040,2,"USA",40,"CUB",1917,4,3.1
2040,2,"USA",40,"CUB",1918,4,3.1
2040,2,"USA",40,"CUB",1919,4,3.1
2040,2,"USA",40,"CUB",1920,4,3.1
2040,2,"USA",40,"CUB",1921,4,3.1
2040,2,"USA",40,"CUB",1922,4,3.1
2040,2,"USA",40,"CUB",1923,4,3.1
2040,2,"USA",40,"CUB",1924,4,3.1
2040,2,"USA",40,"CUB",1925,4,3.1
2040,2,"USA",40,"CUB",1926,4,3.1
2040,2,"USA",40,"CUB",1927,4,3.1
2040,2,"USA",40,"CUB",1928,4,3.1
2040,2,"USA",40,"CUB",1929,4,3.1
2040,2,"USA",40,"CUB",1930,4,3.1
2040,2,"USA",40,"CUB",1931,4,3.1
2040,2,"USA",40,"CUB",1932,4,3.1
2040,2,"USA",40,"CUB",1933,4,3.1
2040,2,"USA",40,"CUB",1934,4,3.1
2040,2,"USA",40,"CUB",1935,4,3.1
2040,2,"USA",40,"CUB",1936,4,3.1
2040,2,"USA",40,"CUB",1937,4,3.1
2040,2,"USA",40,"CUB",1938,4,3.1
2040,2,"USA",40,"CUB",1939,4,3.1
2040,2,"USA",40,"CUB",1940,4,3.1
2040,2,"USA",40,"CUB",1941,4,3.1
2040,2,"USA",40,"CUB",1942,4,3.1
2040,2,"USA",40,"CUB",1943,4,3.1
2040,2,"USA",40,"CUB",1944,4,3.1
2040,2,"USA",40,"CUB",1945,4,3.1
2040,2,"USA",40,"CUB",1946,4,3.1
