,AkakaDanielK,AllardWayne,AllenGeorge,BarkleyDeanM,BaucusMax,BayhEvan,BennettRobertF,BidenJosephRJr,BingamanJeff,BondChristopherS
AkakaDanielK,0,55,81,68,54,74,49,84,53,67
AllardWayne,55,0,27,13,9,19,7,30,4,13
AllenGeorge,81,27,0,18,33,8,34,3,28,14
BarkleyDeanM,68,13,18,0,16,10,19,19,16,7
BaucusMax,54,9,33,16,0,25,7,36,13,20
BayhEvan,74,19,8,10,25,0,26,11,21,6
BennettRobertF,49,7,34,19,7,26,0,36,8,20
BidenJosephRJr,84,30,3,19,36,11,36,0,31,17
BingamanJeff,53,4,28,16,13,21,8,31,0,14
BondChristopherS,67,13,14,7,20,6,20,17,14,0
