"V1","V2"
"BaucusMax","AkakaDanielK"
"BingamanJeff","AkakaDanielK"
"AllenGeorge","AllardWayne"
"BondChristopherS","AllardWayne"
"AllardWayne","AllenGeorge"
"AllardWayne","BaucusMax"
"AllenGeorge","BaucusMax"
"BayhEvan","BaucusMax"
"BingamanJeff","BaucusMax"
"BondChristopherS","BaucusMax"
"BingamanJeff","BayhEvan"
"AkakaDanielK","BidenJosephRJr"
"AllenGeorge","BidenJosephRJr"
"BaucusMax","BidenJosephRJr"
"BayhEvan","BidenJosephRJr"
"BingamanJeff","BidenJosephRJr"
"BondChristopherS","BidenJosephRJr"
"AkakaDanielK","BingamanJeff"
"AllardWayne","BingamanJeff"
"AllenGeorge","BingamanJeff"
"BaucusMax","BingamanJeff"
"BayhEvan","BingamanJeff"
"BidenJosephRJr","BingamanJeff"
"BondChristopherS","BingamanJeff"
"AllenGeorge","BondChristopherS"
"BennettRobertF","BondChristopherS"
"BingamanJeff","BondChristopherS"
