"flight_date" "failure" "temp"
"1" 1981-04-12 0 66
"17" 1981-11-12 1 70
"2" 1982-03-22 0 69
"3" 1982-11-11 0 68
"4" 1983-04-04 0 67
"5" 1983-06-18 0 72
"6" 1983-08-30 0 73
"7" 1983-11-28 0 70
"18" 1984-02-03 1 57
"19" 1984-04-06 1 63
"20" 1984-08-30 1 70
"8" 1984-10-05 0 78
"9" 1984-11-08 0 67
"22" 1985-01-24 2 53
"10" 1985-04-12 0 67
"11" 1985-04-29 0 75
"12" 1985-06-17 0 70
"13" 1985-07-29 0 81
"14" 1985-08-27 0 76
"15" 1985-10-03 0 79
"23" 1985-10-30 2 75
"16" 1985-11-26 0 76
"21" 1986-01-12 1 58
